Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C16, C831, C460, C461","C0603","C14663"
"10u","C17","C0603","C19702"
"1N4148WS","D3, D5, D9, D410, D412, D413, D414","SOD-323","C2128"
"LED-GREEN-0805","D4, D6, D7, D8","LED-0805","C2297"
"B5819W","D10, D11, D12, D13, D14, D300, D301, D302, D303, D416, D417","SOD-123","C8598"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"Jumper-Pad-Pad","R2, R4, R9, R10, R11, R12, R13","PAD-0805-PAD","C17477"
"5.1k","R16, R17","R0603","C23186"
"1.6k","R20","R0603","C22847"
"750","R21","R0603","C23241"
"0","R23, R310","R0603","C21189"
"MCP6002-xSN","U3","SO8","C7377"
"10u","C821, C822, C823, C824, C825, C826, C827, C828, C829, C830","C0805","C440198"
"10n","C832, C833, C301, C302","C0603","C57112"
"10k","R821, R300, R301, R307, R308, R315","R0603","C25804"
"4.7k","R822, R302, R303, R313, R134","R0603","C23162"
"TLE9201SG","U821","Infineon_PG-DSO-12-11","C112633"
"100n","C470, C411, C413, C420","C0402","C307331"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"100k","R471, R473, R615, R621, R755, R756, R758, R759","R0402","C25741"
"12k","R472, R423, R754","R0402","C25752"
"33k","R474, R411","R0402","C25779"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"10u","C300, C421, C422, C423, C424, C425, C426","C0603","C96446"
"10u","C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"PSM712-LF","D304, D305, D411","SOT-23","C32677"
"PJM2319PSA","Q300, Q301, Q302, Q303, Q304, Q313, Q314","SOT-23","C411720"
"10k","R304, R305, R306","R0603-4","C29718"
"1k","R311, R314","R0603","C21190"
"100","R312, R316","R0805","C17408"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"TC4427","U302","SO8","C20551"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"47u","C410, C412","C1206","C96123"
"1u","C414, C415, C600, C607, C609, C610, C611, C755, C758, C761, C762, C763, C765, C766, C767","C0402","C52923"
"4.7u","C427, C616","C0603","C19666"
"10n","C428, C756, C757, C760, C764, C768, C769","C0402","C15195"
"220p","C429","C0402","C1530"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421","SMB","C78395"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"1","R420","R0402","C25086"
"10k","R421, R424, R425, R604, R605, R613, R614, R618, R619, R625, R757, R762, R763, R767, R768","R0402","C25744"
"68k","R422, R602, R603, R760","R0402","C36871"
"2.4k","R426, R427","R0402","C25882"
"4.7k","R428","R0402","C25900"
"TLS115","U411","PG-DSO-8 EP","C540242"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C617, C618, C753, C754, C759","C0402","C1525"
"33n","C603","C0402","C1585"
"LED-RED-0603","D600, D603","LED-0603","C2286"
"LED-GREEN-0603","D601, D751","LED-0603","C72043"
"LED-BLUE-0603","D602","LED-0603","C72041"
"PESD1CAN","D604","SOT-23","C343993"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R765, R766","R0402","C11702"
"10","R606, R761, R764, R769","R0402","C25077"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"MCP6004","U600, U753","TSSOP14","C50282"
"AD8628","U601","TSOT23-5","C29309"
"REF3033","U603","SOT-23","C36658"
"XC6206P332MR","U604","SOT-23","C5446"
"TJA1051T/3/1J","U605","SO-8_3.9x4.9mm_P1.27mm","C38695"
"1n","C751","C0402","C1523"
"470n","C752","C0402","C47339"
"2.2k","R751","R0402","C25879"
"10k","R752, R753","R0805","C17414"
"SRV05-4-P-T7","U751","SOT23-6","C85364"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756","SOT-363","C87403"
"STM32F429IGT6 ","U105","LQFP176","C54328"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14030","U420","SOP8","C182078"
"LP2981-33DBVR","U410","SOT-23-5","C129997"
"ZXMS6005SGTA","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C174042"
"nSMD050-24V","F410, F300","F1206","C70076"
"74LVC4245APW,118","U460","TSSOP-24","C6091"
"620","R133","R0603","C23220"
