Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C16","C0603","C14663"
"10u","C17","C0603","C19702"
"1N4148WS","D3","SOD-323","C2128"
"LED-GREEN-0805","D4","LED-0805","C2297"
"1N4148WS","D5","SOD-323","C2128"
"LED-GREEN-0805","D6","LED-0805","C2297"
"LED-GREEN-0805","D7","LED-0805","C2297"
"LED-GREEN-0805","D8","LED-0805","C2297"
"1N4148WS","D9","SOD-323","C2128"
"B5819W","D10","D_SOD-123","C8598"
"B5819W","D11","D_SOD-123","C8598"
"B5819W","D12","D_SOD-123","C8598"
"B5819W","D13","D_SOD-123","C8598"
"B5819W","D14","D_SOD-123","C8598"
"Fuse-Pad-Pad","F1","PAD-1206-PAD",""
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"DISCLAIMER","G4","Off_Road_Disclaimer",""
"PROTO_AREA","G5","PROTO_AREA",""
"LOGO","G6","LOGO",""
"LOGO","G7","LOGO",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x01","J2","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x08","J7","PinHeader_1x08_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_1x06_P2.54mm_Vertical",""
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"Module:motor-driver/0.1","M1","motor-driver",""
"mega-mcu144-0.1","M3","mega-mcu144",""
"Module:knock/0.2","M5","knock",""
"Module:output/0.3","M6","output",""
"Module:ign8/0.2","M7","ign8",""
"Module:power_12and5V/0.1","M8","power_12and5V",""
"Module:wbo/0.5","M9","wbo",""
"Module:vr-discrete/0.4","M11","vr-discrete",""
"368255-2","P1","368255-2",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P64","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P80","PAD-TH",""
"Jumper-Pad-Pad","R2","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD",""
"Jumper-Pad-Pad","R4","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R8","PAD-0805-PAD",""
"Jumper-Pad-Pad","R9","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD"," C17477"
"5.1k","R16","R0603","C23186"
"5.1k","R17","R0603","C23186"
"1.6k","R20","R0603","C22847"
"750","R21","R0603","C23241"
"0","R23","R0603","C21189"
"MCP6002-xSN","U3","SO8","C7377"
