Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C0603",38.665001,39.068747,0.000000,top
"C2","100n","C0603",38.665001,37.118762,0.000000,top
"C3","10n","C0603",38.665001,35.168777,0.000000,top
"C4","100n","C0603",38.665001,33.218792,0.000000,top
"C5","1u","C0603",38.665001,31.268807,0.000000,top
"D1","B5819W","SOD-123",91.960000,58.658733,0.000000,top
"D2","B5819W","SOD-123",91.960000,55.538733,0.000000,top
"D3","B5819W","SOD-123",13.962000,95.125000,180.000000,top
"D4","B5819W","SOD-123",14.011979,97.125000,0.000000,top
"D5","SS34","D_SMA",13.962000,93.125000,180.000000,top
"D6","NUP2105L","SOT-23",14.011979,85.125000,0.000000,top
"F1","12H1500D","PAD-1206-PAD",65.730000,50.208733,0.000000,top
"F2","12H1500D","PAD-1206-PAD",65.730000,47.088733,0.000000,top
"F3","12H1500D","PAD-1206-PAD",65.730000,43.968733,0.000000,top
"F4","50mA","Fuse_0603_1608Metric",113.955000,78.663733,0.000000,top
"F5","50mA","Fuse_0603_1608Metric",113.955000,76.153733,0.000000,top
"F6","50mA","Fuse_0603_1608Metric",113.955000,73.643733,0.000000,top
"F7","50mA","Fuse_0603_1608Metric",113.955000,71.133733,0.000000,top
"F8","50mA","Fuse_0603_1608Metric",113.955000,68.623733,0.000000,top
"F9","50mA","Fuse_0603_1608Metric",113.955000,66.113733,0.000000,top
"J1","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",75.675000,56.093733,0.000000,top
"J2","USB_B_Mini","USB-MINI-B-VERTICAL",17.962000,91.125000,0.000000,top
"L1","470R@100MHz","L_0603_1608Metric",42.385000,32.183733,0.000000,top
"L2","470R@100MHz","L_0603_1608Metric",42.385000,29.673733,0.000000,top
"M1","Module-power_12and5V-0.3","power_12and5V",72.950000,60.968731,0.000000,top
"M2","Module-knock-0.2","knock",88.000000,49.468730,0.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",72.950000,94.068733,0.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",72.950000,83.018733,0.000000,top
"M5","Module-motor-driver-0.1","motor-driver",72.950000,42.768733,0.000000,top
"M6","Module-wbo-0.5","wbo",37.700000,52.518733,0.000000,top
"M7","Module:mega-mcu100/0.3","mega-mcu100",37.700000,67.868723,0.000000,top
"M8","Module-can-0.1","can",37.700000,44.182059,0.000000,top
"P1","368255-2","368255-2",14.498000,77.482000,0.000000,top
"P2","368255-2","368255-2",14.450000,77.365000,0.000000,top
"Q1","AO3400A","SOT-23",91.095000,101.968733,0.000000,top
"Q2","ISL9V3040D3ST","TO-252-2",106.715000,100.198733,0.000000,top
"Q3","ISL9V3040D3ST","TO-252-2",106.715000,92.003733,0.000000,top
"Q4","ISL9V3040D3ST","TO-252-2",106.715000,83.808733,0.000000,top
"Q5","ISL9V3040D3ST","TO-252-2",106.715000,75.613733,0.000000,top
"Q6","ISL9V3040D3ST","TO-252-2",106.715000,67.418733,0.000000,top
"Q7","ISL9V3040D3ST","TO-252-2",106.715000,59.223733,0.000000,top
"R1","4.7k","R0603",92.100000,81.292138,0.000000,top
"R2","33k","R0603",92.100000,79.343092,0.000000,top
"R3","6.8k","R0603",92.100000,77.394046,0.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",90.580391,47.293342,0.000000,top
"R5","0","R0603",92.100000,75.445000,0.000000,top
"R6","0","R0603",92.100000,73.495954,0.000000,top
"R7","DNP","R0805",92.400001,69.328732,0.000000,top
"R8","DNP","R0805",92.400001,66.825804,0.000000,top
"R9","DNP","R0805",92.400001,64.322876,0.000000,top
"R10","10k","R0805",13.300000,29.975000,-90.000000,top
"R11","10k","R0805",11.000000,29.975000,-90.000000,top
"R12","10k","R0805",15.600000,29.975021,-90.000000,top
"R13","4.7k","R0603",8.700000,29.925000,-90.000000,top
"R14","1k","R0603",92.100000,71.546908,0.000000,top
"R15","4.7k","R0603",66.230000,32.462138,0.000000,top
"R16","4.7k","R0603",9.062000,95.400000,180.000000,top
"R17","4.7k","R0603",9.062000,92.850000,180.000000,top
"R18","4.7k","R0603",66.230000,30.513092,0.000000,top
"R19","22","R0603",117.610000,78.942138,0.000000,top
"R20","22","R0603",9.062000,83.400000,180.000000,top
"R21","22","R0603",9.062000,80.850000,180.000000,top
"R22","0","R_2512_6332Metric",116.295000,101.923733,0.000000,top
"R23","0","R_2512_6332Metric",77.109000,106.387200,90.000000,top
"R24","0","R_2512_6332Metric",116.295000,97.033733,0.000000,top
"R25","22","R0603",117.610000,76.993092,0.000000,top
"R26","22","R0603",117.610000,75.044046,0.000000,top
"R27","22","R0603",117.610000,73.095000,0.000000,top
"R28","0","R_2512_6332Metric",116.295000,92.143733,0.000000,top
"R29","0","R_2512_6332Metric",116.295000,87.253733,0.000000,top
"R30","0","R_2512_6332Metric",116.295000,82.363733,0.000000,top
"R31","4.7k","R0603",109.900000,52.222138,0.000000,top
"R32","4.7k","R0603",109.900000,50.273092,0.000000,top
"R33","4.7k","R0603",109.900000,48.324046,0.000000,top
"R34","4.7k","R0603",109.900000,46.375000,0.000000,top
"R35","4.7k","R0603",109.900000,44.425954,0.000000,top
"R36","4.7k","R0603",109.900000,42.476908,0.000000,top
"R37","4.7k","R0603",113.200000,52.222138,0.000000,top
"R38","4.7k","R0603",113.200000,50.273092,0.000000,top
"R39","4.7k","R0603",113.200000,48.324046,0.000000,top
"R40","4.7k","R0603",113.200000,46.375000,0.000000,top
"R41","4.7k","R0603",113.200000,44.425954,0.000000,top
"R42","4.7k","R0603",113.200000,42.476908,0.000000,top
"R43","4.7k","R0603",116.500000,52.222138,0.000000,top
"R44","4.7k","R0603",116.500000,50.273092,0.000000,top
"R45","4.7k","R0603",116.500000,48.324046,0.000000,top
"R46","4.7k","R0603",116.500000,46.375000,0.000000,top
"R47","4.7k","R0603",52.480000,39.042138,0.000000,top
"R48","4.7k","R0603",52.480000,37.093092,0.000000,top
"R49","4.7k","R0603",52.480000,35.144046,0.000000,top
"R50","4.7k","R0603",52.480000,33.195000,0.000000,top
"U1","BTS6143D","TO-252-4",56.485000,47.743733,0.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",44.605000,36.663733,0.000000,top
"U3","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",68.805000,36.663733,0.000000,top
"U4","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",104.025000,49.843733,0.000000,top
"U5","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",104.025000,43.263733,0.000000,top
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",104.025000,36.683733,0.000000,top
"U7","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",104.025000,30.103733,0.000000,top
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",58.355000,36.663733,0.000000,top
